nombre_region,cod_region,Sector,Subsector,Energético,BNE Tcal,Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt)
Región de Tarapacá,1,Industrial y Minero,Industrias Varias,Electricidad,17.354422394576883,,
Región de Antofagasta,2,Industrial y Minero,Industrias Varias,Electricidad,305.76338476596266,,
Región de Atacama,3,Industrial y Minero,Industrias Varias,Electricidad,48.32088975609056,,
Región de Coquimbo,4,Industrial y Minero,Industrias Varias,Electricidad,115.9318132786977,,
Región de Valparaíso,5,Industrial y Minero,Industrias Varias,Electricidad,282.548859100981,,
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Industrias Varias,Electricidad,382.11830973346247,,
Región del Maule,7,Industrial y Minero,Industrias Varias,Electricidad,323.9409626527629,,
Región del Biobío,8,Industrial y Minero,Industrias Varias,Electricidad,722.4274411984411,,
Región de La Araucanía,9,Industrial y Minero,Industrias Varias,Electricidad,455.4083525022515,,
Región de Los Lagos,10,Industrial y Minero,Industrias Varias,Electricidad,1076.272831321476,,
Región Aisén del Gral.Carlos Ibáñez del Campo,11,Industrial y Minero,Industrias Varias,Electricidad,45.65052000000001,,
Región de Magallanes y de la Antártica Chilena,12,Industrial y Minero,Industrias Varias,Electricidad,58.736230119999995,,
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Electricidad,4063.9953369754885,,
Región de Los Ríos,14,Industrial y Minero,Industrias Varias,Electricidad,121.96212933756927,,
Región de Arica y Parinacota,15,Industrial y Minero,Industrias Varias,Electricidad,28.359920176616825,,
Región de Ñuble,16,Industrial y Minero,Industrias Varias,Electricidad,44.496945247571645,,
Región de Tarapacá,1,Industrial y Minero,Industrias Varias,Petróleo Diésel,34.674913734887994,,
Región de Antofagasta,2,Industrial y Minero,Industrias Varias,Petróleo Diésel,504.94936554410884,,
Región de Atacama,3,Industrial y Minero,Industrias Varias,Petróleo Diésel,60.9623478773232,,
Región de Coquimbo,4,Industrial y Minero,Industrias Varias,Petróleo Diésel,122.41754414163961,,
Región de Valparaíso,5,Industrial y Minero,Industrias Varias,Petróleo Diésel,195.32207202715205,,
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Industrias Varias,Petróleo Diésel,71.57775532550158,,
Región del Maule,7,Industrial y Minero,Industrias Varias,Petróleo Diésel,668.4425657991144,,
Región del Biobío,8,Industrial y Minero,Industrias Varias,Petróleo Diésel,395.5541546358023,,
Región de La Araucanía,9,Industrial y Minero,Industrias Varias,Petróleo Diésel,209.23758166163162,,
Región de Los Lagos,10,Industrial y Minero,Industrias Varias,Petróleo Diésel,94.18766775710881,,
Región Aisén del Gral.Carlos Ibáñez del Campo,11,Industrial y Minero,Industrias Varias,Petróleo Diésel,159.58764433919998,,
Región de Magallanes y de la Antártica Chilena,12,Industrial y Minero,Industrias Varias,Petróleo Diésel,146.4744147611304,,
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Petróleo Diésel,865.4373869386981,,
Región de Los Ríos,14,Industrial y Minero,Industrias Varias,Petróleo Diésel,58.7716509563568,,
Región de Arica y Parinacota,15,Industrial y Minero,Industrias Varias,Petróleo Diésel,41.039764835999996,,
Región de Ñuble,16,Industrial y Minero,Industrias Varias,Petróleo Diésel,62.184869292,,
Región de Tarapacá,1,Industrial y Minero,Industrias Varias,Gas Licuado,0.26339280000000004,,
Región de Antofagasta,2,Industrial y Minero,Industrias Varias,Gas Licuado,13.401623620000002,,
Región de Atacama,3,Industrial y Minero,Industrias Varias,Gas Licuado,1.1980815,,
Región de Coquimbo,4,Industrial y Minero,Industrias Varias,Gas Licuado,199.96662070000002,,
Región de Valparaíso,5,Industrial y Minero,Industrias Varias,Gas Licuado,76.32951584500003,,
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Industrias Varias,Gas Licuado,171.76810578887415,,
Región del Maule,7,Industrial y Minero,Industrias Varias,Gas Licuado,141.19428108499994,,
Región del Biobío,8,Industrial y Minero,Industrias Varias,Gas Licuado,18.622609665000002,,
Región de La Araucanía,9,Industrial y Minero,Industrias Varias,Gas Licuado,26.986823599999997,,
Región de Los Lagos,10,Industrial y Minero,Industrias Varias,Gas Licuado,54.81493599999999,,
Región Aisén del Gral.Carlos Ibáñez del Campo,11,Industrial y Minero,Industrias Varias,Gas Licuado,0.5575680000000001,,
Región de Magallanes y de la Antártica Chilena,12,Industrial y Minero,Industrias Varias,Gas Licuado,1.2658293999999999,,
Región Metropolitana de Santiago,13,Industrial y Minero,Industrias Varias,Gas Licuado,1674.8895287047014,,
Región de Los Ríos,14,Industrial y Minero,Industrias Varias,Gas Licuado,1.233595,,
Región de Arica y Parinacota,15,Industrial y Minero,Industrias Varias,Gas Licuado,24.54054845,,
Región de Ñuble,16,Industrial y Minero,Industrias Varias,Gas Licuado,3.7962848549999997,,
Región de Antofagasta,2,Industrial y Minero,Industrias Varias,Petróleo Combustible,55.7473665,,
Región de Coquimbo,4,Industrial y Minero,Industrias Varias,Petróleo Combustible,2.3263905,,
Región de Valparaíso,5,Industrial y Minero,Industrias Varias,Petróleo Combustible,16.107378,,
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Industrias Varias,Petróleo Combustible,5.275074,,
Región del Maule,7,Industrial y Minero,Industrias Varias,Petróleo Combustible,50.049336907500006,,
Región del Biobío,8,Industrial y Minero,Industrias Varias,Petróleo Combustible,207.222106875,,
Región de La Araucanía,9,Industrial y Minero,Industrias Varias,Petróleo Combustible,0.3949155,,
Región de Los Lagos,10,Industrial y Minero,Industrias Varias,Petróleo Combustible,27.791988,,
