Region,Sector,Subsector,Energético,Energia estimada
I,Transporte,Terrestre,Diesel,163.63225
I,Transporte,Terrestre,Gasolina Aviacion,0.0
I,Transporte,Terrestre,Gasolina Motor,80.99319999999999
I,Transporte,Terrestre,Kerosene,0.076
I,Transporte,Terrestre,Kerosene Aviacion,0.0
I,Transporte,Terrestre,Petróleo Combustible,0.0
I,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,381.20304999999996
I,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.08073000000000001
I,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,0.46087
I,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.0
I,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,5.84393
I,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,26.22102
I,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,0.076
I,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,9.601201
I,Industrial y Minero,"Todos, IM",Gas Licuado,1.6412419999999999
I,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,6.748966
I,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,0.24364399999999997
I,Transporte,Terrestre,Gas Licuado,0.219442
II,Transporte,Terrestre,Diesel,386.37697000000003
II,Transporte,Terrestre,Gasolina Aviacion,0.0
II,Transporte,Terrestre,Gasolina Motor,170.16983
II,Transporte,Terrestre,Kerosene,0.20259
II,Transporte,Terrestre,Kerosene Aviacion,0.0
II,Transporte,Terrestre,Petróleo Combustible,0.0
II,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,1896.3635900000002
II,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.01776
II,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,1.5390599999999999
II,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.0
II,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,13.3139
II,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,46.917410000000004
II,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,0.20259
