Año,Fraccion Rigidos
2017,0.7015266267541678
2018,0.7947208872517794
2019,0.7115387332859285
2020,0.5676667424575985
2021,0.526172597359094
2022,0.6903641944709278
2023,0.691381082336762
2024,0.6856613809385738
2025,0.6833604223861974
2026,0.6778676747051231
2027,0.6719911878420674
2028,0.6670497652281885
2029,0.6617063565412342
2030,0.6563263056188747
2031,0.6507715104234996
2032,0.6451419945475745
2033,0.6394890389844687
2034,0.633857711667932
2035,0.6282905936632139
2036,0.6229204097037563
2037,0.6175337794493665
2038,0.6121289066156114
2039,0.6067014910449107
2040,0.6012479633708471
2041,0.5959873921970305
2042,0.5909318648628817
2043,0.5860939672143055
2044,0.5814838998653897
2045,0.5768820877044253
2046,0.5725106595225047
2047,0.5683747829152973
2048,0.5642502577646906
2049,0.560363367288978
2050,0.5564854689859766
